	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
C10164[e]	0.9933740307617296	1.0091326258933118	0.9985248519110358	1.0057455405786941	1.0302928915910095	1.0138795035187265	0.9906295652013248	1.0008235470659694	0.9938269323007285
C05767[e]	0.9977254486208859	0.9999861730723391	0.9984550473473118	0.9978847454135834	0.9999108758681484	0.9983532892304132	0.9973082908289836	0.9991449068299179	0.9977789061303338
ppbng[e]	1.050025619562293	1.0948842580466789	1.0657542049049151	1.0231777364413064	1.0654183561368493	1.038022748691405	1.015300517665568	1.0566896744391026	1.0298830527600735
12ppd_R[e]	0.99004837956565	0.990648312979371	0.9889650021234423	1.0005123317707136	0.9998705658343926	0.9996739606618529	1.0013308954636508	1.000485272630912	0.9995751533146512
ametam[e]	1.0050756187155607	1.007636984951552	1.0035143572780811	0.9953646725836581	0.9952570895719339	0.9921246386228667	0.9935564272389075	0.9933422827422103	0.9904172836597148
xylu_L[e]	1.0067544432157602	1.0116158823315415	1.0118077571605497	1.002502081993471	1.0059640128313974	1.0072551364754445	1.0058415445786648	1.0086299477349567	1.0101053044142152
xylu_D[e]	1.0150039819525527	1.012106144021924	1.0249110381502726	1.0037197694162652	1.0004240279805026	1.0131152437236144	1.003036810603531	0.9991186412945867	1.0122629042988045
CE0737[e]	1.0509365149853	1.0109374554767627	1.0145124792684819	1.0147873073683626	1.002252983087267	1.0066671633168558	1.0191561660555026	1.0064362506868723	1.0100841778445713
sphings[e]	1.138641443090806	1.0755462599915986	1.115105207578708	1.0271850261760669	0.9670830506097948	1.007318411189514	1.057991786219656	0.9963527075554981	1.0346369204542207
im4ac[e]	1.012018222173372	1.0133610361120464	1.0060609684718864	0.9931200867127941	0.9936872749939469	0.9853928840891804	0.9993852532866205	0.9994891951945966	0.9928206107990271
aact[e]	0.9594241398341137	0.9804257813330999	0.8841211423914773	0.9531966501914191	0.9741303775146146	0.8790888628809024	1.0444478331523102	1.0688188457261043	0.954792258179316
sphgn[e]	1.0132917199586986	1.012856382100463	1.0095711180368903	1.0018206597174997	1.0025062891864411	0.9983415009148695	1.0081722615232371	1.0082220012514262	1.0045338364836645
C13856[e]	1.0222036675327426	1.0270011533588312	1.0242205717813526	1.0174650618824088	1.0208911180194529	1.0193388193470205	1.0153470649385634	1.0198511357022515	1.0177174452634383
prist[e]	0.9899133728954531	0.9962419649648576	0.9876979340728996	1.0015663736221263	1.010993390168218	1.0030653145646362	0.9960631731941646	1.0009695865950803	0.9944658886732357
CE2049[e]	0.9695154211095727	0.9609435932144458	0.9611193746076752	0.9820958662763917	0.9735797598435778	0.9709511254663067	0.9765722673447863	0.9646875387176623	0.9668361249178081
CE2047[e]	0.9944645819034593	0.9933988833484455	0.9922646544179091	0.9975118590746266	0.9974663162024973	0.9947308791950547	0.9967780940245102	0.9936821829658733	0.9944918889652548
fdp[e]	0.9842356655505655	0.9752153127065217	0.9634644353771423	0.9895114801193128	0.981545306826553	0.9639143241294752	0.9891820480165078	0.9818766876253291	0.9766182196765689
coke[e]	1.0173847471945328	1.0144087526665173	1.0168946720122976	1.009024953565001	1.0059841165220844	1.0083132424125025	1.0145303091215194	1.0110663669709503	1.013864810418249
coke[c]	1.0320855292424327	1.0233721855869535	1.0238484677171822	1.0138167994172225	1.0056062576858715	1.005926615190038	1.0253787242640853	1.0163911786674593	1.0171657950586062
5a2opntn[e]	0.9994075906240911	1.0014437842881592	1.0005956303832049	1.0006035356753578	1.0023914871973665	1.0015654230599063	0.9989292927624884	1.000586413989367	0.9999396460625423
5a2opntn[c]	0.999627967741975	1.0017042159907352	1.0009064193764425	1.0006637795706366	1.0025512378906372	1.0018100998014767	0.9987685714994813	1.0005580620248937	0.9999542694089524
arg_D[c]	0.9990460596956167	1.0001530385784945	0.9991290165460567	1.000307633696612	1.0012511500658086	1.0000870285185104	1.0000678686338196	1.0007017735012886	0.9999205506878438
arg_D[e]	0.9990334421405349	1.0001546183098995	0.9991175047716119	1.0003107427953182	1.001268898757491	1.0000891616989926	1.0000747115429165	1.0007149087921194	0.9999260631079251
dopa4sf[c]	0.9212572645692247	0.8971310156048242	0.893687454104619	0.9587007794465232	0.9293783389871219	0.9245685991514032	0.9469989916176896	0.9273482403969112	0.9284320492443189
dopa4glcur[c]	1.0184491931117279	1.0039734868017949	0.990574832353347	1.029979379189176	1.016915629512158	0.996326044789114	1.0309945508858818	1.0145431246004195	1.0029280886517935
dopa3glcur[c]	1.0184491931117279	1.0039734868017949	0.990574832353347	1.029979379189176	1.016915629512158	0.996326044789114	1.0309945508858818	1.0145431246004195	1.0029280886517935
34dhpe[c]	1.0024286723226647	1.005016225243725	1.002945934687692	0.9970320732443495	0.9985145537824271	0.9971698503907818	1.0008023668156159	1.0021276705733635	1.0002434406022729
dopa4sf[e]	0.9524504792091536	0.9385772069821855	0.9360820180879375	0.9755056296735609	0.9583607095189123	0.9549800385656422	0.968218044989719	0.9568121981866837	0.9571263112625059
dopa4glcur[e]	1.0035225547117368	1.0010703272292867	0.9970866005050352	1.0070936859463488	1.006001291933043	0.9991271513693438	1.0081939660573191	1.0035702472990884	1.0015757353321457
